rou,fir,sec,thi,for,fif,six,bon
458,10,11,15,25,35,41,13
459,2,8,20,30,33,34,6
460,14,15,16,19,25,43,2
461,2,4,20,34,35,43,14
462,3,13,18,33,37,45,1
463,11,18,21,26,38,43,29
464,1,12,26,27,29,33,42
465,3,6,13,23,24,35,1
466,1,3,17,20,31,44,40
467,1,10,15,16,32,41,28
468,4,5,6,25,26,43,41
469,4,10,18,27,40,45,38
470,14,19,25,26,27,34,2
471,5,10,16,17,31,32,21
472,4,11,13,17,20,31,33
473,5,7,18,37,42,45,20
474,1,4,20,23,29,45,28
475,11,12,25,32,44,45,23
476,12,15,19,26,40,43,29
477,4,20,26,28,35,40,31
478,12,20,23,28,30,44,43
479,11,17,21,24,26,36,12
480,13,14,17,32,41,42,6
481,2,7,17,28,29,39,37
482,1,10,20,32,35,40,43
483,3,6,20,24,27,44,25
484,1,7,14,20,34,37,41
485,29,31,35,38,40,44,17
486,1,12,13,21,32,45,14
487,6,7,15,22,34,39,28
488,8,17,20,27,37,43,6
489,4,24,25,27,34,35,2
490,5,17,21,25,36,44,10
491,13,18,26,31,34,44,12
492,5,6,19,26,41,45,34
493,8,13,26,28,32,34,43
494,3,12,13,15,34,36,14
495,3,19,22,31,42,43,26
496,6,10,18,31,32,34,11
497,12,23,26,30,36,43,11
498,7,8,18,32,37,43,12
499,11,12,14,15,18,39,34
500,10,24,26,29,37,38,32
501,9,14,15,17,31,33,23
502,16,17,23,24,29,44,3
503,1,5,9,21,27,35,45
504,16,23,27,29,33,41,22
505,18,20,24,27,31,42,39
506,5,17,25,31,39,40,10
507,1,12,22,32,33,42,38
508,7,14,17,20,35,39,31
509,11,23,26,29,39,44,22
510,10,11,29,38,41,45,21
511,1,4,37,38,40,45,7
512,4,5,13,14,37,41,11
513,3,7,18,29,32,36,19
514,4,22,27,28,38,40,1
515,6,8,13,16,30,43,3
516,14,23,30,32,34,38,6
517,1,9,12,28,36,41,10
518,2,8,23,41,43,44,30
519,2,11,12,15,23,37,8
520,1,15,20,26,35,42,9
521,5,8,21,23,27,33,12
522,4,5,9,13,26,27,1
523,3,7,14,23,26,42,24
524,12,29,32,33,39,40,42
525,12,25,29,35,42,43,24
526,5,27,31,34,35,43,37
527,12,13,32,33,40,41,4
528,6,9,11,22,24,30,31
529,7,20,22,25,38,40,44
530,6,14,22,26,43,44,31
531,1,5,27,30,34,36,40
532,6,22,28,32,34,40,26
533,1,4,10,17,31,42,2
534,3,4,12,20,24,34,41
535,5,20,23,27,35,40,43
536,13,14,24,32,39,41,3
537,19,20,23,24,43,44,13
538,4,13,20,29,36,41,39
539,4,13,22,27,34,44,6
540,5,7,8,15,30,43,22
541,20,22,26,33,36,37,25
542,22,27,31,35,37,40,42
543,8,17,35,36,39,42,4
544,2,7,26,29,40,43,42
545,2,4,8,15,20,27,11
546,2,8,17,30,31,38,25
547,4,8,25,27,37,41,21
548,1,2,23,25,38,40,43
